Age,Salary,Experience,Department,Performance
22,25000,1,HR,Average
25,30000,2,Sales,Good
28,35000,3,IT,Excellent
30,40000,4,Finance,Good
32,45000,5,HR,Excellent
35,50000,6,Sales,Good
38,55000,7,IT,Excellent
40,60000,8,Finance,Good
42,65000,9,HR,Excellent
45,70000,10,Sales,Excellent
23,27000,1,IT,Average
27,32000,2,Finance,Good
29,37000,3,HR,Average
31,42000,4,Sales,Good
34,47000,5,IT,Excellent
36,52000,6,Finance,Good
39,58000,7,HR,Excellent
41,63000,8,Sales,Good
44,68000,9,IT,Excellent
46,73000,10,Finance,Excellent
24,29000,1,HR,Average
26,34000,2,Sales,Good
33,46000,5,IT,Excellent
37,54000,6,Finance,Good
43,66000,9,HR,Excellent
